region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV sales,Cars,BEV,2010,Vehicles,450
India,Historical,EV sales,Cars,BEV,2011,Vehicles,1400
India,Historical,EV sales,Cars,BEV,2012,Vehicles,190
India,Historical,EV sales,Cars,BEV,2013,Vehicles,410
India,Historical,EV sales,Cars,BEV,2014,Vehicles,1000
India,Historical,EV sales,Cars,BEV,2015,Vehicles,450
India,Historical,EV sales,Buses,BEV,2015,Vehicles,100
India,Historical,EV sales,Buses,BEV,2016,Vehicles,25
India,Historical,EV sales,Cars,BEV,2016,Vehicles,730
India,Historical,EV sales,Vans,BEV,2016,Vehicles,180
India,Historical,EV sales,Vans,BEV,2017,Vehicles,1200
India,Historical,EV sales,Cars,BEV,2017,Vehicles,920
India,Historical,EV sales,Buses,BEV,2017,Vehicles,20
India,Historical,EV sales,Buses,BEV,2018,Vehicles,210
India,Historical,EV sales,Cars,BEV,2018,Vehicles,920
India,Historical,EV sales,Vans,BEV,2018,Vehicles,1500
India,Historical,EV sales,Vans,BEV,2019,Vehicles,790
India,Historical,EV sales,Cars,BEV,2019,Vehicles,680
India,Historical,EV sales,Cars,PHEV,2019,Vehicles,7
India,Historical,EV sales,Buses,BEV,2019,Vehicles,460
India,Historical,EV sales,Buses,BEV,2020,Vehicles,2200
India,Historical,EV sales,Cars,PHEV,2020,Vehicles,43
India,Historical,EV sales,Cars,BEV,2020,Vehicles,3100
India,Historical,EV sales,Vans,BEV,2020,Vehicles,1000
India,Historical,EV sales,Buses,FCEV,2020,Vehicles,49
India,Historical,EV sales,Vans,BEV,2021,Vehicles,1700
India,Historical,EV sales,Cars,BEV,2021,Vehicles,12000
India,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
India,Historical,EV sales,Cars,FCEV,2021,Vehicles,1
India,Historical,EV sales,Buses,BEV,2021,Vehicles,1200
India,Historical,EV sales,Buses,BEV,2022,Vehicles,2000
India,Historical,EV sales,Cars,FCEV,2022,Vehicles,2
India,Historical,EV sales,Cars,PHEV,2022,Vehicles,23
India,Historical,EV sales,Cars,BEV,2022,Vehicles,48000
India,Historical,EV sales,Vans,BEV,2022,Vehicles,510
India,Historical,EV sales,Buses,FCEV,2022,Vehicles,49
India,Historical,EV sales,Buses,FCEV,2023,Vehicles,2
India,Historical,EV sales,Vans,BEV,2023,Vehicles,350
India,Historical,EV sales,Cars,BEV,2023,Vehicles,82000
India,Historical,EV sales,Cars,PHEV,2023,Vehicles,270
India,Historical,EV sales,Buses,BEV,2023,Vehicles,2300
